,price,beds,baths,sqft,address,city,attribution
172,"$450,000",2,2,"1,834",1257 W 46th Street,Los Angeles CA 90037,Courtesy Of Coldwell Banker Murrieta
173,"$525,000",,,,1522 W 102nd Street,Los Angeles CA 90047,Courtesy Of Realty ONE Group West
174,"$525,000",,,,1522 W 102nd Street,Los Angeles CA 90047,Courtesy Of Realty ONE Group West
175,"$1,600,000",8,4,"4,060",1222 N Hoover Street,Los Angeles CA 90029,Courtesy Of Keller Williams-VIP Properties
176,"$699,000",,,,523 Museum Dr,Los Angeles CA 90065,Courtesy Of Compass
177,"$8,450,000",3,3,"2,485",10985 Bellagio Rd,Los Angeles CA 90077,Courtesy Of Rodeo Realty
178,"$379,000",1,1,,1749 Edgemont St 3,Los Angeles CA 90027,Listed By CENTURY 21 Award
179,"$999,999",3,3,"2,170",3512 Floresta Ave,Los Angeles CA 90043,Courtesy Of Compass
180,"$300,000",,,,815 W 97th St,Los Angeles CA 90044,"Courtesy Of CRYSTAL LEE, BROKER"
181,"$300,000",,,,817 W 97th St,Los Angeles CA 90044,"Courtesy Of CRYSTAL LEE, BROKER"
182,"$8,250,000",,,1,5201 W Century Blvd,Los Angeles CA 90045,Listed By CENTURY 21 Masters
183,"$45,000",,,,1033 Hollybush,Los Angeles CA 90077,Courtesy Of Coldwell Banker Los Feliz
184,"$45,000",,,,1023 Hollybush,Los Angeles CA 90077,Courtesy Of Coldwell Banker Los Feliz
185,"$21,999",,,,0 Rising Glen Rd. and Sunset plaza Drive,Beverly Hills CA 90069,Courtesy Of RICH ESTATE PROPERTIES INC.
186,"$25,000",,,,0 Calgary Lane,Los Angeles CA 90077,Courtesy Of Coldwell Banker Los Feliz
187,"$25,000",,,,0 Mirabel Lane,Los Angeles CA 90077,Courtesy Of Coldwell Banker Los Feliz
188,"$475,000",,,,3226 E 5th St,Los Angeles CA 90063,Courtesy Of Compass
189,"$300,000",2,2,"1,140",419 E Century Blvd,Los Angeles CA 90003,Listed By CENTURY 21 A Better Service Realty
190,,,,,,,
191,,,,,,,
192,,,,,,,
193,,,,,,,
194,,,,,,,
